r
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンの白和え, season: 通年, description: 熊本の郷土料理として定着しているクレソン料理の代表例。豆腐・ごま・みりん・塩の白和え衣がクレソンの苦みをまろやかに包む。, cuisine: 和食, created_at: 2026-05-17T11:11:42.872000000Z, region: 日本・熊本郷土料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りマルガタウニースープ, season: 通年, description: インド東部起源のスパイシースープにクレソンをブレンドした料理。植民地時代のアングロ・インド料理の変遷を示す一品。, cuisine: アングロ・インド, created_at: 2026-05-17T11:11:15.996000000Z, region: アングロ・インド})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ポタヘ・デ・ベロス, season: 通年, description: スペイン・カナリア諸島の郷土料理で、クレソン・じゃがいも・白いんげん豆・塩漬け豚肉・サフランを入れた煩込みスープです。クレソンが主役野菜として確立している数少ない事例です。, cuisine: スペイン料理, created_at: 2026-05-17T11:11:16.894000000Z, region: スペイン・カナリア諸島})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ホルタ, season: 通年, description: ギリシャ全土に根付く「野草を茹でてオリーブオイルとレモンで食べる」伝統料理。クレソンは150種以上の野草が分類されるホルタの一種として自然に位置づく。, cuisine: ギリシャ料理, created_at: 2026-05-17T11:11:17.748000000Z, region: ギリシャ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×フェタチーズのサラダ, season: 通年, description: フェタの塩気とクリーミーさがクレソンの進みとほろ苦さを包み込む組み合わせ。ギリシャ式レモン×オリーブオイルドレッシングとの相性が高い。, cuisine: ギリシャ・地中海, created_at: 2026-05-17T11:11:18.474000000Z, region: ギリシャ・地中海})"
"(:Recipe {needs_review: false, confidence: 0.85, name: クレソンのブルスケッタ, season: 通年, description: トーストしたパンにオリーブオイルを居てクレソンをのせるシンプルな前菜。ピザの強い旨味とトマト配味の中、クレソンの青草の香りと辺りを辺り方が格上げる。, cuisine: イタリア料理, created_at: 2026-05-17T11:11:19.424000000Z, region: イタリア})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りリボッリータ風, season: 通年, description: トスカーナの農家料理「リボッリータ」にクレソンを加える。クレソンがスープを吸う構造が「出汁×クレソン」の文脈と直結する。, cuisine: イタリア料理, created_at: 2026-05-17T11:11:20.344000000Z, region: イタリア・トスカーナ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンの天ぷら, season: 通年, description: クレソンの茎ごとざっくり揚げると苦みが香ばしさに転化し、天つゆとの相性が良い。旬の野菜として天ぷらコースに組み込みやすい。, cuisine: 和食, created_at: 2026-05-17T11:11:21.484000000Z, region: 日本・和食})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ゴマ和え, season: 通年, description: 練りごまのコクがクレソンの苦みを包んで食べやすくなり、お酒のつまみとしても機能する。, cuisine: 和食, created_at: 2026-05-17T11:11:22.602000000Z, region: 日本})"
"(:Recipe {needs_review: false, confidence: 0.9, name: なめろウ風, season: 通年, description: トルコのメゼ文化では葉野菜をヨーグルト・にんにく・レモンで和えて前菜として出す。クレソンは小皿料理の多い和食の飲食店とも親和性が高い。, cuisine: 中東・地中海料理, created_at: 2026-05-17T11:11:23.536000000Z, region: 自然})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りファッロースープ, season: 通年, description: 古代小麦「ファッロー」を使ったウンブリア・トスカーナの郷土スープ。穀物の素朴な旨味にクレソンの清涼感が組み合わさる。, cuisine: イタリア料理, created_at: 2026-05-17T11:11:24.555000000Z, region: イタリア・中部})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ミント×クレソンの冷製スープ, season: 通年, description: ミント・グリーンピースとクレソンを合わせた冷製スープ。ディナーパーティーの前菜として小さなグラスで提供するスタイルが洗練されている。, cuisine: 地中海・現代料理, created_at: 2026-05-17T11:11:25.472000000Z, region: 地中海・現代料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ソパ・デ・アグリアン, season: 通年, description: ブラジルで日常的に食べられるクレソンスープ。栄養士が推奨するダイエットスープとして健康食として定着。, cuisine: ブラジル料理, created_at: 2026-05-17T11:11:26.629000000Z, region: ブラジル・ポルトガル})"
"(:Recipe {needs_review: false, confidence: 0.9, name: フランゴ・コン・アグリアン, season: 通年, description: 鶏肉とクレソンを煮込むブラジルの伝統的な家庭料理。鶏の旨味出汁をクレソンが吸う構造は「出汁×クレソン」の文脈そのもの。, cuisine: ブラジル料理, created_at: 2026-05-17T11:11:27.548000000Z, region: ブラジル})"
"(:Recipe {needs_review: false, confidence: 0.9, name: サラダ・デ・アグリアン×アバカシ, season: 通年, description: クレソン・パイナップル・にんじん・ヨーグルトドレッシングを合わせるブラジルの定番サラダ。甘みと苦みの対比が特徴的で、南国フルーツとクレソンの組み合わせはブラジルの定番。, cuisine: ブラジル料理, created_at: 2026-05-17T11:11:28.435000000Z, region: ブラジル})"
"(:Recipe {needs_review: false, confidence: 0.9, name: エンサラダ・メヒカーナ・デ・ベロス, season: 通年, description: メキシコでは小川のそばに自生するクレソン（berro）が古くから野草として親しまれており、チリビネグレット・コーン・ラディッシュ・アボカドと合わせるサラダが定番。, cuisine: メキシコ料理, created_at: 2026-05-17T11:11:29.298000000Z, region: メキシコ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ベロス・コン・ラバノ・サルサ, season: 通年, description: メキシコ革命期の料理を記録した文献に収録された伝統レシピ。炎喫で焼いたトマト・セラーノペッパーのサルサにクレソンとラディッシュを合わせ、アボカドとトルティーヤに年える。, cuisine: メキシコ料理, created_at: 2026-05-17T11:11:30.194000000Z, region: メキシコ・革命期レシピ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: リンゴ×クレソン×チレ・デ・アルボルのサラダ, season: 通年, description: 青リンゴ・ラディッシュ・クレソンをマスタードハニービネグレットで和え、焼いたチレ・デ・アルボルとピスタチオをとっぴんぐにのせるメキシコの現代サラダ。, cuisine: メキシコ料理, created_at: 2026-05-17T11:11:31.115000000Z, region: メキシコ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: トルティータス・デ・ベロ, season: 通年, description: メキシコ・グアテマラ・エルサルバドルの青空市場で大束で売られるクレソンを使ったミニオムレツ。朝食・軽食の定番。, cuisine: メキシコ料理, created_at: 2026-05-17T11:11:32.253000000Z, region: メキシコ・グアテマラ・エルサルバドル})"
"(:Recipe {needs_review: false, confidence: 0.9, name: サラダ・デ・アグリアン×ラランハ, season: 通年, description: オレンジの輪切り・黒オリーブとクレソンをオリーブオイルとビネガーで和えるブラジルの定番サラダ。柑橘の酸味とクレソンの辺りが融合する。, cuisine: ブラジル料理, created_at: 2026-05-17T11:11:33.156000000Z, region: ブラジル})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ケリテ・デ・ベロ, season: 通年, description: クレソンはメキシコでは「ケリテ（食用野草）」のリストに正式に加えられており、卵と炊めてトルティーヤと食べるか、熱いスープのブロスに投入して柔らかくする伝統的な調理が根付く。, cuisine: メキシコ料理, created_at: 2026-05-17T11:11:34.064000000Z, region: メキシコ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: タコス・デ・ベロス, season: 通年, description: タコス・ファヒータ・ケサディーヤなどのメキシコ料理全般に、レタスの代わりにクレソンを使うことでより栄養価が高く風味豊かな一品になると推奨されている。, cuisine: メキシコ料理, created_at: 2026-05-17T11:11:34.994000000Z, region: メキシコ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 西洋菜の炒め物, season: 通年, description: にんにく・生姜で香りを出し強火で一気に炒める広東家庭料理の定番。オイスターソースで旨味を加えるのが広東スタイル。, cuisine: 広東料理, created_at: 2026-05-17T11:11:36.010000000Z, region: 広東料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 西洋菜汤, season: 通年, description: 豚骨・蜜棗（はちみつなつめ）とクレソンを2時間以上煮込む広東の古典的な薬膳スープ。, cuisine: 広東料理, created_at: 2026-05-17T11:11:37.157000000Z, region: 広東料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 西洋菜汤＋南杏北杏, season: 通年, description: クレソン・豚尾骨・南杏・北杏・クコの実・なつめを煮出す薬膳スープ。, cuisine: 薬膳, created_at: 2026-05-17T11:11:37.860000000Z, region: 広東・マレーシア華人})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 水餃子・饅頭, season: 通年, description: 中国北部ではクレソンを細かく切って水餃子や蒸し饅頭の具材として使う。, cuisine: 中国料理, created_at: 2026-05-17T11:11:38.878000000Z, region: 中国北部})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 西洋菜入り火鍋, season: 通年, description: クレソンは火鍋の具材として定番で、煮汁を吸う野菜として日本の鍋料理との類比がわかりやすい。, cuisine: 中国料理, created_at: 2026-05-17T11:11:40.035000000Z, region: 中国全般})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りビビンバ, season: 通年, description: クレソンのナムルをビビンバの一要素として加える。, cuisine: 韓国料理, created_at: 2026-05-17T11:11:41.965000000Z, region: 韓国})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 西洋菜茶, season: 通年, description: クレソンを長時間煮出してお茶のように飲む台湾・広東の伝統。南杏・北杏・なつめを加えて「潤肺・止咳」効果を高める。, cuisine: 台湾料理, created_at: 2026-05-17T11:23:53.320000000Z, region: 台湾・広東・香港})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ボー・サオ・ザー・ラック・サン, season: 通年, description: ベトナムの家庭料理で最も伝統的・定番のクレソン料理。薄切り牛肉をにんにくと強火で炒め、その肉汁ごとクレソンに絡めるウォームサラダ。, cuisine: ベトナム料理, created_at: 2026-05-17T11:11:45.366000000Z, region: ベトナム})"
"(:Recipe {needs_review: false, confidence: 0.9, name: カン・ザー・ラック・ソン, season: 通年, description: ひき肉と水だけで作るシンプルな家庭スープで5分以内に完成する。, cuisine: ベトナム料理, created_at: 2026-05-17T11:11:46.153000000Z, region: ベトナム})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×エビの炒め物, season: 通年, description: シャロット・生姜でエビを炒め、魚醤・砂糖のソースにクレソンを加えライムジュースで仕上げる。, cuisine: ベトナム料理, created_at: 2026-05-17T11:11:46.865000000Z, region: ベトナム風})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとポーク&シュリンプのタイ風サラダ, season: 通年, description: クレソンのペパリーな辛みはタイでも非常に人気が高く、ナンプラー・ライム・チリソースのドレッシングで和える。, cuisine: タイ料理, created_at: 2026-05-17T11:11:48.066000000Z, region: タイ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ラオス式ホットポット, season: 通年, description: 牛肉・豚骨・鶏肉をガランガル・レモングラス・パクチーの根でとったスープにクレソンなどの野菜を投入して食べる。, cuisine: ラオス料理, created_at: 2026-05-17T11:11:49.246000000Z, region: ラオス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 西洋菜豚骨スープ, season: 通年, description: マレーシアでは薬膳的価値が認識されている。乾しクラゲ・クコの実・なつめと3時間煮込む。, cuisine: シンガポール・マレーシア華人, created_at: 2026-05-17T11:11:50.244000000Z, region: シンガポール・マレーシア華人})"
"(:Recipe {needs_review: false, confidence: 0.9, name: サンバル・クレソン, season: 通年, description: サンバル（ベラカン＋チリ）でクレソンを炒める料理。シンガポールのホーカースタルの定番。, cuisine: シンガポール・マレーシア料理, created_at: 2026-05-17T11:11:51.066000000Z, region: シンガポール・マレーシア})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りシニガン, season: 通年, description: フィリピンを代表する酸っぱいスープ「シニガン」にクレソンを加える。, cuisine: フィリピン料理, created_at: 2026-05-17T11:11:51.682000000Z, region: フィリピン})"
"(:Recipe {needs_review: false, confidence: 0.9, name: インドネシア自生クレソンのスープ・炒め物, season: 通年, description: インドネシアではクレソンが水路のそばに自生し非常に安価に手に入る食材として家庭料理に使われている。, cuisine: インドネシア料理, created_at: 2026-05-17T11:11:52.817000000Z, region: インドネシア})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りフォー, season: 通年, description: ベトナムの国民食「フォー」の仕上げにクレソンを投入する。, cuisine: ベトナム料理, created_at: 2026-05-17T11:16:42.690000000Z, region: ベトナム})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン・ハーブカレー, season: 通年, description: ナタール州のインド系コミュニティで代々受け継がれたハーブカレー。香辛料粉末なしで玉ねぎ・トマト・にんにくとドライ炊き煮。, cuisine: 南アフリカ・インド系移民料理, created_at: 2026-05-17T11:16:44.920000000Z, region: 南アフリカ・インド系移民料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: イエロームング・ダル, season: 通年, description: ムング豆またはトゥールダルをクレソンとともに圧力鍋で煮、ターメリック・赤唐辛・クミン・マスタードシードでテンパリングする家庭料理。, cuisine: 南インド・タミル料理, created_at: 2026-05-17T11:16:46.606000000Z, region: 南インド・タミル料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×カリフラワーのパーンチフォロン, season: 通年, description: ベンガル料理のパーンチフォロン（5種スパイスミックス）とクレソン・カリフラワーを組み合わせる。, cuisine: ベンガル料理, created_at: 2026-05-17T11:16:47.619000000Z, region: ベンガル料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのタンブリ, season: 通年, description: クレソンをヤシの実・クミン・唐辛とすりつぶしてバターミルクで割る南インドのチャトニ風一品。, cuisine: 南インド・カルナータカ料理, created_at: 2026-05-17T11:16:48.260000000Z, region: 南インド・カルナータカ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのトゥヴァイヤル, season: 通年, description: ウラド豆・タマリンド・ヤシの実・赤唐辛・エシャロットとクレソンを炊いてすりつぶすタミルの濃厚なチャトニ。, cuisine: タミルナード料理, created_at: 2026-05-17T11:16:49.238000000Z, region: タミルナード料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りベルプリ, season: 通年, description: インドのストリートフード「ベルプリ」のコリアンダー部分をクレソンで代替するアレンジ。, cuisine: インド料理, created_at: 2026-05-17T11:16:50.157000000Z, region: インド・ストリートフード})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りムルガタウニースープ, season: 通年, description: インド東部起源のスパイシースープにクレソンをブレンドした料理。, cuisine: アングロ・インド, created_at: 2026-05-17T11:16:51.255000000Z, region: アングロ・インド})"
"(:Recipe {needs_review: false, confidence: 0.9, name: インド系スパイス野菜カレー, season: 通年, description: 玉ねぎ・乾燥唐辛・にんにく・トマトを炒め、クレソンと青えんどう豆を加えて水分が飛ぶまで煮つめる料理です。, cuisine: インド系融合料理, created_at: 2026-05-17T11:16:52.256000000Z, region: 南アフリカ・インド系融合料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りファッテ, season: 通年, description: 揚げたピタパンの上にひよこ豆・スパイスヨーグルト・松の実を重ねるレバントの名物料理。仕上げにクレソンを加えることで清涼感が増す。ナツメグ・シナモン・クミン系のスパイスとクレソンの辛みが対比を生む。, cuisine: レバノン料理, created_at: 2026-05-17T11:16:54.275000000Z, region: レバノン料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとオレンジのタブレ風サラダ, season: 通年, description: パセリの代わりにクレソンを使うタブレのバリエーション。北アフリカの柑橘系フレーバーとクレソンのペパリーな辛みが融合。, cuisine: レバノン・シリア料理, created_at: 2026-05-17T11:16:55.311000000Z, region: レバノン・シリア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りシャクシュカ, season: 通年, description: トマト・パプリカ・クミン・コリアンダーで作ったソースに卵を落として煮るシャクシュカに、仕上げにクレソンを散らす。辛いトマトソースの酸味とクレソンの辛みが共鳴し、卵の濃厚さを引き締める。, cuisine: イスラエル・北アフリカ料理, created_at: 2026-05-17T11:16:56.329000000Z, region: イスラエル・北アフリカ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのフムス, season: 通年, description: ひよこ豆・タヒニ・レモン・にんにくで作るフムスにクレソンをブレンドして緑色に染める。クレソンのほろ苦さとタヒニのナッツ感が合わさり、通常のフムスより複雑な風味になる。, cuisine: 地中海料理, created_at: 2026-05-17T11:16:57.348000000Z, region: レバノン・地中海})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りラブネ, season: 通年, description: ヨーグルトを一晩漉して作る中東の「ストレインドヨーグルトチーズ」にクレソンを混ぜ込む。クリーミーな乳製品がクレソンの辛みを包む。, cuisine: 中東料理, created_at: 2026-05-17T11:16:58.276000000Z, region: レバノン・ヨルダン})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとザクロのサラダ, season: 通年, description: ザクロの実の甘酸っぱさとクレソンの辛みが対比を生む。クルミ・フェタチーズ・ザクロ酢ドレッシングで仕上げるペルシャ料理の前菜。, cuisine: イラン・ペルシャ料理, created_at: 2026-05-17T11:16:59.108000000Z, region: イラン・ペルシャ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りマルーブ, season: 通年, description: 肉・野菜・米を重ねて炊き、ひっくり返してサーブするパレスチナの「逆さご飯」。揚げナス・カリフラワー・鶏肉とともにクレソンを加えることで、重厚な料理に清涼感が生まれる。, cuisine: パレスチナ料理, created_at: 2026-05-17T11:17:00.024000000Z, region: パレスチナ・ヨルダン})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのコフタ, season: 通年, description: 羊肉や牛肉のひき肉にスパイスを混ぜて串焼きにするコフタの付け合わせとしてクレソンを使う。グリルの炭香りとクレソンの清涼感が対比を生む。, cuisine: 中東料理, created_at: 2026-05-17T11:17:01.162000000Z, region: 中東全般})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りジャジキ風ヨーグルトソース, season: 通年, description: きゅうり・にんにく・ヨーグルトのジャジキにクレソンを加えたバリエーション。通常のジャジキより辛みとほろ苦さが加わり、グリル肉やコフタのタレとして深みが増す。, cuisine: トルコ・キプロス料理, created_at: 2026-05-17T11:17:02.161000000Z, region: トルコ・キプロス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ウォーターリーフスープ, season: 通年, description: クレソンに近縁のウォーターリーフをパームオイル・クレイフィッシュ・ピーナッツペーストで煮込む。ナイジェリアでは「グブレスープ」とも呼ばれ、鉄分豊富な野菜として貧血気味の人に処方的に食べさせる文化がある。, cuisine: 西アフリカ料理, created_at: 2026-05-17T11:17:03.292000000Z, region: ナイジェリア・西アフリカ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのナタル式カレー, season: 通年, description: ナタル州のインド系コミュニティで受け継がれた「ハーブカレー」。香辛料粉末なし・玉ねぎ・トマト・にんにくとドライ炒め煮。毎週月曜の「肉なしの日」の定番料理として家庭に根付いている。, cuisine: 南アフリカ・インド系移民料理, created_at: 2026-05-17T11:17:04.386000000Z, region: 南アフリカ・インド系移民料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのモロッコ式サラダ, season: 通年, description: クレソンをオリーブオイル・レモン・クミン・パプリカ・コリアンダーシードで和えるシンプルなサラダ。モロッコ料理の基本前菜プレートの一品として機能する。, cuisine: モロッコ料理, created_at: 2026-05-17T21:22:26.622000000Z, region: モロッコ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りコウサイ, season: 通年, description: 南アフリカのケープタウンに根付くマレー系移民料理では、スパイスとクレソンをカレーリーフ・マスタードシードでテンパリングして炒める野菜料理がある。アトジャル（ピクルス）の付け合わせとしても食べられる。, cuisine: 南アフリカ・マレー系料理, created_at: 2026-05-17T11:17:06.461000000Z, region: 南アフリカ・マレー系料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンスープ, season: 通年, description: ナイジェリア系移民が海外でウォーターリーフの代替としてクレソンを使うスープ。出汁をしっかり吸うクレソンの特性がナイジェリアのスープ文化に自然に馴染んでいる。, cuisine: ナイジェリア料理, created_at: 2026-05-17T11:17:07.112000000Z, region: ナイジェリア・ボストン在住コミュニティ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ケニアのスクマウィキ風クレソン炒め, season: 通年, description: ケニアの国民的葉野菜料理「スクマウィキ」のクレソンバリエーション。ウガリと合わせて食べる。, cuisine: 東アフリカ料理, created_at: 2026-05-17T11:17:07.854000000Z, region: 東アフリカ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×エグシ, season: 通年, description: 西瓜の種のすりつぶし（エグシ）をベースにしたスープにクレソンを加える。エグシの濃厚なナッツ感・スモーキーな干しエビとクレソンの清涼感が対比を生む。, cuisine: 西アフリカ料理, created_at: 2026-05-17T11:17:08.764000000Z, region: 西アフリカ・ガーナ・ナイジェリア})"
"(:Recipe {needs_review: false, confidence: 0.9, name: エチオピアのゴメン風クレソン炒め, season: 通年, description: エチオピアの定番葉野菜料理「ゴメン」をクレソンで代替するバリエーション。クレソンのほろ苦さがインジェラの酸味に合う。, cuisine: エチオピア料理, created_at: 2026-05-17T11:17:09.710000000Z, region: エチオピア})"
"(:Recipe {needs_review: false, confidence: 0.9, name: タジン風クレソン煮込み, season: 通年, description: 鶏肉・レモン・オリーブを煮込むモロッコのタジンにクレソンを加える応用版。保存レモンのしょっぱい酸味とクレソンのほろ苦さが合わさり、ラス・エル・ハヌートの複雑な香りをさらに層が増す。, cuisine: 北アフリカ料理, created_at: 2026-05-17T11:17:10.632000000Z, region: 北アフリカ・モロッコ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのブレデ, season: 通年, description: マダガスカルでは「ブレデ」と呼ばれる葉野菜料理が各種あり、クレソンは「ブレデ・クレソン」として水辺から採取され、にんにく・トマト・ショウガで炒めてご飯に添える。島の料理文化に南アジア・東南アジアの影響が混在する多様性を示す料理。, cuisine: マダガスカル料理, created_at: 2026-05-17T11:17:11.560000000Z, region: マダガスカル})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りプレミアムバーガー, season: 通年, description: レタスの代わりにクレソンをトッピングする高級バーガー。クレソンの辛みとグリルパティの肉汁が対比し、アーバンダイナーやフードトラック系で差別化メニューとして定着しつつある。, cuisine: アメリカン・ダイナー・現代料理, created_at: 2026-05-17T11:17:12.297000000Z, region: アメリカン・ダイナー・現代料理})"
